,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.012694787979125977,0.0004429817199707031,0.7758241758241758,0.7688188648213555,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 2}",10,0.9130434782608695,0.8787878787878788,0.8043478260869565,0.8071625344352618,0.7032967032967034,0.7225274725274725,0.6222222222222222,0.6191780821917808,0.8333333333333334,0.8164383561643835,0.0023272733377026904,0.00010230285360852211,0.10170946225279198,0.08985131475331488
1,0.012885522842407227,0.0005039691925048829,0.6791208791208792,0.6811508043637559,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 3}",15,0.6195652173913043,0.6198347107438017,0.6195652173913043,0.6198347107438017,0.6153846153846154,0.6208791208791209,0.6222222222222222,0.6191780821917808,0.9222222222222223,0.9260273972602739,0.004746812351372371,0.00013875825297944298,0.12073502441373628,0.12243950877531798
2,0.01215348243713379,0.0004549503326416016,0.7450549450549451,0.7638450673444448,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 4}",11,0.8804347826086957,0.8870523415977961,0.7391304347826086,0.7520661157024794,0.7032967032967034,0.739010989010989,0.7,0.7041095890410959,0.7,0.736986301369863,0.002432987342366676,0.00017552500799221529,0.06974757617411136,0.06360067335367404
3,0.015184736251831055,0.00036787986755371094,0.6945054945054945,0.6903043573280186,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 5}",14,0.9891304347826086,0.9724517906336089,0.6195652173913043,0.6198347107438017,0.6153846153846154,0.6208791208791209,0.6222222222222222,0.6191780821917808,0.6222222222222222,0.6191780821917808,0.008306234194155432,8.270066600295563e-06,0.14834455025203566,0.14107508830132545
4,0.02042255401611328,0.0006514549255371094,0.8131868131868132,0.8279045072818423,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 6}",9,0.8695652173913043,0.8622589531680441,0.6195652173913043,0.6198347107438017,0.9120879120879121,0.9615384615384616,0.8555555555555555,0.8767123287671232,0.8111111111111111,0.8191780821917808,0.005659718721507861,0.0005514139949304187,0.10264094566377857,0.11383290899101306
5,0.02134847640991211,0.00036869049072265627,0.8857142857142857,0.8994151883815645,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 7}",7,0.9347826086956522,0.9256198347107438,0.8152173913043478,0.8292011019283747,0.8791208791208791,0.9230769230769231,0.8777777777777778,0.9041095890410958,0.9222222222222223,0.915068493150685,0.0026417368880537868,4.646655164749082e-06,0.042148632122401816,0.035898864779360634
6,0.02071528434753418,0.00043997764587402346,0.8769230769230769,0.8797118821402756,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 8}",8,0.967391304347826,0.9476584022038568,0.8804347826086957,0.8539944903581267,0.8571428571428571,0.8708791208791209,0.8444444444444444,0.8438356164383561,0.8333333333333334,0.8821917808219178,0.005243875506193316,0.00014758295695873518,0.048167665522842865,0.036467486446174674
7,0.020520877838134766,0.00039973258972167967,0.7274725274725274,0.7372218565991916,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 9}",12,0.6304347826086957,0.6198347107438017,0.6195652173913043,0.6198347107438017,0.9120879120879121,0.9505494505494505,0.6222222222222222,0.6191780821917808,0.8555555555555555,0.8767123287671232,0.004139022846770914,6.577909402971543e-05,0.1284954962628124,0.14591783363710956
8,0.024663925170898438,0.0005903244018554688,0.7230769230769231,0.7220247996088595,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 10}",13,0.6195652173913043,0.6198347107438017,0.9456521739130435,0.9173553719008265,0.6153846153846154,0.6208791208791209,0.6222222222222222,0.6191780821917808,0.8111111111111111,0.8328767123287671,0.00588602039666948,0.00025913947769717676,0.13434205028910387,0.1278224463050099
9,0.05068626403808594,0.00037217140197753906,0.8923076923076924,0.9077218588800158,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 12}",5,0.9456521739130435,0.9035812672176309,0.9130434782608695,0.9118457300275482,0.9010989010989011,0.9615384615384616,0.8555555555555555,0.8876712328767123,0.8444444444444444,0.873972602739726,0.041333115779215314,1.1961866658528924e-05,0.03739112173783524,0.02990457298608469
10,0.04580984115600586,0.00037217140197753906,0.9340659340659341,0.9401246366750726,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 15}",2,0.9891304347826086,0.9669421487603306,0.9347826086956522,0.931129476584022,0.8901098901098901,0.9313186813186813,0.8888888888888888,0.9068493150684932,0.9666666666666667,0.9643835616438357,0.016076791320301157,3.205821287912676e-06,0.040168987683319335,0.022686468116067376
