,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03799548149108887,0.0009145259857177735,0.49291237113402064,0.4959823886385755,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 2}",14,0.48881789137380194,0.5020177562550444,0.4952076677316294,0.49878934624697335,0.4790996784565916,0.49959709911361805,0.4967532467532468,0.4871382636655949,0.504885993485342,0.4923694779116466,0.016655382331103644,0.00035970401216632364,0.008600145144401107,0.0054523843510542085
1,0.035677766799926756,0.000771188735961914,0.4877577319587629,0.49243749271200554,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 3}",15,0.48562300319488816,0.4947538337368846,0.4952076677316294,0.4963680387409201,0.4887459807073955,0.49717969379532634,0.5,0.4879421221864952,0.46905537459283386,0.4859437751004016,0.005369934480921878,0.00020934713127244154,0.010547050331967546,0.004597386725618919
2,0.05029983520507812,0.0006601810455322266,0.5257731958762887,0.5280042758551321,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 4}",12,0.5271565495207667,0.5326876513317191,0.4952076677316294,0.4995964487489911,0.4919614147909968,0.5286059629331185,0.5454545454545454,0.5184887459807074,0.5700325732899023,0.5606425702811245,0.014900076140304556,1.1359338044711681e-05,0.02970269087089614,0.019925382033555837
3,0.05965332984924317,0.000666666030883789,0.5193298969072165,0.5294539392984003,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 5}",13,0.48562300319488816,0.5173527037933817,0.49201277955271566,0.5230024213075061,0.4630225080385852,0.5124899274778405,0.5811688311688312,0.5586816720257235,0.5765472312703583,0.5357429718875502,0.007848233785760526,8.973411470642935e-06,0.049208225134091337,0.01655084271854503
4,0.05040125846862793,0.0007153511047363281,0.5360824742268041,0.5565589692642879,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 6}",11,0.5623003194888179,0.5891848264729621,0.5335463258785943,0.5706214689265536,0.48231511254019294,0.5173247381144238,0.5357142857142857,0.5514469453376206,0.5667752442996743,0.5542168674698795,0.005235384574063894,4.202951019151896e-05,0.030093182464706172,0.023803964286291383
5,0.05270795822143555,0.0008642196655273438,0.5547680412371134,0.5753560600937023,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 7}",10,0.5846645367412141,0.6069410815173527,0.5111821086261981,0.5439870863599677,0.4887459807073955,0.5221595487510072,0.5811688311688312,0.5972668810289389,0.6091205211726385,0.606425702811245,0.012884132868618682,0.00022019121508881745,0.04647088799311073,0.03537485458097439
6,0.06262364387512206,0.0008797645568847656,0.6140463917525774,0.6323452156514542,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 8}",8,0.5271565495207667,0.5383373688458434,0.6166134185303515,0.6335754640839386,0.5819935691318328,0.6631748589846898,0.6655844155844156,0.6647909967845659,0.6807817589576547,0.661847389558233,0.015281934606694915,0.00015920478054031126,0.056017060274649755,0.0483995096232409
7,0.11432623863220215,0.001010560989379883,0.6101804123711341,0.6241613045907786,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 9}",9,0.6070287539936102,0.6045197740112994,0.6166134185303515,0.6077481840193705,0.5562700964630225,0.613215149073328,0.6525974025974026,0.677652733118971,0.6188925081433225,0.6176706827309237,0.06388687500076407,0.00021327986356457413,0.031061375859597697,0.02712364160330524
8,0.09562034606933593,0.0009200096130371094,0.6585051546391752,0.6731783655755001,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 10}",6,0.6741214057507987,0.6747376916868443,0.6869009584664537,0.6747376916868443,0.639871382636656,0.7050765511684126,0.5909090909090909,0.6181672025723473,0.7003257328990228,0.6931726907630522,0.01841324780155593,0.00012094900966430424,0.03916778362921774,0.029827364397908056
9,0.09166789054870605,0.0010186195373535155,0.6494845360824743,0.6686611392087077,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 12}",7,0.5910543130990416,0.6400322841000807,0.7220447284345048,0.6755447941888619,0.6527331189710611,0.7107171635777598,0.6331168831168831,0.6792604501607717,0.6482084690553745,0.6377510040160642,0.018308443979987887,7.41684294150066e-05,0.042496549885157615,0.027215756784381016
10,0.09478878974914551,0.0011074066162109375,0.6797680412371134,0.6987973345079108,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'ica__n_components': 15}",2,0.6773162939297125,0.7191283292978208,0.670926517571885,0.6852300242130751,0.6430868167202572,0.7123287671232876,0.7272727272727273,0.7379421221864951,0.6807817589576547,0.6393574297188755,0.021071073294752624,0.00017416710724723998,0.02710448204144143,0.03419338418507068
