iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.142810369656,0.144251367329,0.144390080225,0.531584501734,0.529172320217,0.530981456355,0.199840581
10,0.109994726447,0.110296887278,0.110053825527,0.64224332881,0.642695612845,0.648123021257,2.262714881
20,0.0930779490427,0.0911766520752,0.0920420004828,0.711593547414,0.720488466757,0.721393034826,4.312790671
30,0.0894929045437,0.0854722770707,0.0886999618784,0.735263078547,0.749434644957,0.739032112166,6.399448695
40,0.0966094459782,0.097161994647,0.0968664703176,0.701040253279,0.696517412935,0.699231117142,8.410045008
50,0.103015784407,0.1001018592,0.10479966466,0.668928086839,0.697874265038,0.65671641791,10.416545232
60,0.122573501228,0.126932140067,0.122503683427,0.625961103573,0.603346901854,0.621890547264,12.485368829
70,0.0990433206942,0.0961702039687,0.0974773406363,0.698326549073,0.704658525554,0.70013568521,14.472804291
80,0.106793648164,0.1059353184,0.105200220965,0.652947384291,0.665309814564,0.669380370873,16.574560042
90,0.0899395891937,0.0922587408504,0.0919688501193,0.740841248304,0.725011307101,0.730438715513,18.619896944
100,0.0806998729858,0.0784802250051,0.0816950990518,0.773707221468,0.780189959294,0.758932609679,20.689559376
110,0.0809810266703,0.0808702609539,0.0807868675393,0.766922960953,0.768882858435,0.770691994573,22.702051092
120,0.0749062683732,0.0733313641887,0.0748628761287,0.793004673602,0.796924468566,0.786069651741,24.75860559
130,0.0848150979716,0.0841100805581,0.0843578421857,0.752600633198,0.749434644957,0.75079149706,26.725425488
140,0.0821698158347,0.0817354573105,0.0821533575126,0.764360018091,0.757575757576,0.758932609679,28.798561016
150,0.075309781054,0.0748744321763,0.07500045361,0.795869139153,0.797829036635,0.792401628223,30.818894286
160,0.0822208651695,0.0808426556421,0.0817591099764,0.765716870194,0.768430574401,0.759384893713,32.913088469
170,0.0800818020645,0.0790226669693,0.0800988923769,0.775064073572,0.767073722298,0.767073722298,34.971243733
180,0.0778962722782,0.0762047523906,0.0774987044712,0.777627016433,0.776571687019,0.781546811398,36.896304413
190,0.0792379257236,0.0778343734168,0.0781318312424,0.777476255088,0.784712799638,0.781094527363,38.860491091
200,0.075754070778,0.0744545722689,0.075675981105,0.789084878637,0.786069651741,0.777928539123,40.831453015
210,0.0745091011289,0.073217456343,0.0745258704677,0.791044776119,0.790140208051,0.785165083673,42.862773901
220,0.0819375377196,0.0791418441472,0.0807635443299,0.769787426504,0.777928539123,0.764812302126,44.915576635
230,0.0757537181424,0.0743131818165,0.0758041996695,0.791949344188,0.791044776119,0.786069651741,47.016650451
240,0.0824091674378,0.0799957890458,0.0827048631282,0.762550881954,0.763003165988,0.758932609679,49.076882489
250,0.0790115476196,0.0769283331583,0.0789401349565,0.778833107191,0.77973767526,0.768882858435,51.058881339
260,0.0777435551441,0.076695595643,0.0772004787279,0.778380823157,0.777928539123,0.773857982813,53.075145505
270,0.0823491747638,0.0806367096186,0.0824014342926,0.754711292025,0.758932609679,0.753052917232,55.87001444
280,0.0830693257687,0.0806596729396,0.0831570531608,0.757123473541,0.759384893713,0.749434644957,58.056623963
290,0.0791140029194,0.0763637897076,0.0786908751923,0.785014322328,0.782451379466,0.782903663501,60.196624026
300,0.0824065184363,0.0803415598353,0.0824357082335,0.765113824815,0.764360018091,0.758932609679,62.234036016
310,0.084897661731,0.0828561210682,0.0846958086528,0.749585406302,0.753505201266,0.74762550882,64.403645317
320,0.0773212014576,0.0750918754872,0.0772532498144,0.784260515604,0.782451379466,0.774762550882,66.427045894
330,0.0792521021794,0.0778921289166,0.0791317407042,0.774310266848,0.780642243329,0.761646313885,68.436499199
340,0.0757497558004,0.0740862169335,0.0752541233524,0.789084878637,0.793758480326,0.783355947535,70.408342093
350,0.076706315973,0.0741463423808,0.0768405801302,0.786371174431,0.79421076436,0.777476255088,72.464968604
360,0.0727651477883,0.0707600867981,0.0733208120927,0.805065581185,0.808231569426,0.796019900498,74.545794385
370,0.0751054824711,0.0738738083802,0.075393858,0.787577265189,0.791497060154,0.777928539123,76.545811579
380,0.0809058663061,0.0788588087051,0.0812763844527,0.768581335746,0.767526006332,0.756218905473,78.504052568
390,0.0743829993269,0.0735226664977,0.0738144230087,0.794361525705,0.788331071913,0.785165083673,80.45602245
400,0.0716394551177,0.0704484988746,0.071533409155,0.810492989597,0.806422433288,0.804161013116,82.474079877
410,0.0741962719685,0.0731757768632,0.0745870630857,0.794663048394,0.791949344188,0.781999095432,84.416419611
420,0.0676911866771,0.0669548376243,0.067520028395,0.82285541987,0.819990954319,0.814563545907,86.429557171
430,0.0663131487118,0.0660059290019,0.0656965879619,0.818031056837,0.81592039801,0.815015829941,88.459093749
440,0.0650614858439,0.0651058406445,0.0644635087609,0.820895522388,0.816824966079,0.822704658526,90.49303942
450,0.0670871962467,0.0683941651784,0.067317210365,0.811548319011,0.812302125735,0.809588421529,92.494596143
460,0.0654034156477,0.0666263624417,0.0658203438401,0.820292477009,0.819086386251,0.81592039801,94.521821769
470,0.0645479842005,0.064043682508,0.0644395648757,0.826322930801,0.826322930801,0.822704658526,96.572923756
480,0.0643974188664,0.064442535962,0.064899040134,0.826775214835,0.824966078697,0.823609226594,98.593406918
490,0.0618831654087,0.0616299251738,0.0624211492977,0.833559475351,0.829941203076,0.826775214835,100.640397098
500,0.0647354715889,0.0645012867426,0.0645763029217,0.825569124077,0.82315694256,0.820443238354,102.753750093
510,0.0642468288405,0.0644244521668,0.064547943882,0.825719885421,0.824061510629,0.819086386251,104.740289647
520,0.0650209620593,0.0644053443783,0.0634883268113,0.824664556008,0.825418362732,0.83039348711,106.783278643
530,0.0610796511561,0.0601130870273,0.0607322580385,0.833107191316,0.834464043419,0.834011759385,108.811814431
540,0.0623613778517,0.0620172854007,0.0625497707448,0.827981305593,0.826322930801,0.825418362732,110.799219585
550,0.0652270456612,0.0652125780883,0.0640417389491,0.821498567767,0.82315694256,0.830845771144,112.881002181
560,0.0686929978488,0.0705449905225,0.0681581989313,0.811246796321,0.808231569426,0.819086386251,114.934858182
570,0.0645443343218,0.0646185793854,0.0641869841523,0.823609226594,0.825870646766,0.821347806422,116.933162222
580,0.070095529161,0.0717738737494,0.0702610922868,0.802502638324,0.793758480326,0.796924468566,118.955687737
590,0.0627587714355,0.0632737755195,0.0629944805285,0.826322930801,0.826775214835,0.824061510629,120.92507651
600,0.0646751631332,0.065770916354,0.064875759253,0.821347806422,0.819538670285,0.823609226594,122.984650789
610,0.0620349631886,0.0625189250217,0.0621955555332,0.829036635007,0.824061510629,0.826322930801,125.049668459
620,0.0607468133165,0.06067721973,0.0612932546003,0.835067088798,0.83039348711,0.824966078697,127.082361963
630,0.0580037273951,0.0594078056058,0.0594233560049,0.841248303935,0.834916327454,0.829941203076,129.047003312
640,0.0643761730578,0.0655312103289,0.0636911797027,0.830544248455,0.814563545907,0.834464043419,131.083687103
650,0.0616390411491,0.0607104648774,0.062533230032,0.829338157696,0.826322930801,0.817729534147,133.069400246
660,0.0577880531916,0.0580718295757,0.058312352814,0.840042213177,0.839439167797,0.839891451832,135.188210663
