,BreastC log-likelihood,Faults log-likelihood
2,-9.20414589366994,-13.907877615251193
3,-8.642316477902359,-12.89349440856717
4,-8.485603540550525,-9.216937501189864
5,-8.442188224298345,-8.79082386724335
6,-8.218743382493344,-7.728915375456631
7,-8.151495269712658,-6.9513228314449815
8,-7.95552881052747,-5.9460275859558385
9,-7.849451079627763,-5.590322196227917
10,-7.668572410133952,-5.04601244970135
