,BreastC SSE (left),Faults SSE (left)
2,2834.1593025154884,17110.020333345172
3,2598.6453660939096,15895.903978316554
4,2368.9470491321526,14816.962936291315
5,2194.191495549367,13418.74067458752
6,2046.7667237141316,12922.431657580142
7,1896.3462574160526,11632.445706998727
8,1778.4057142718616,11223.431775801946
9,1677.3000852449688,10472.563138817386
10,1590.9287302150294,9865.216549574256
