iterations,fitness,time,fevals
0,0.0228933160792,2.277558601,1000
10,0.0249049890521,5.025208949,2100
20,0.0249668855101,7.140294684,3200
30,0.0258351002586,9.173954054,4300
40,0.0275565365669,11.385167168,5400
50,0.0283365780185,13.788195995,6500
60,0.0289444091635,15.780926873,7600
70,0.0293065839408,17.793976999,8700
80,0.030212752571,19.947634008,9800
90,0.0294692979877,22.094277945,10900
100,0.0306408642515,24.786472913,12000
110,0.0317415804378,26.849179494,13100
120,0.0296704659296,28.926020083,14200
130,0.0301660841712,31.115211082,15300
140,0.0296685408549,33.360984954,16400
150,0.0295324254003,37.122186728,17500
160,0.0311910322189,40.355200878,18600
170,0.0310153785484,43.594736823,19700
180,0.0320630086864,46.091909622,20800
190,0.0302602193208,48.549860589,21900
200,0.0308421132889,50.785885719,23000
210,0.0307426778926,53.058030826,24100
220,0.0314935285146,55.907986614,25200
230,0.0330791000403,57.979955742,26300
240,0.0326722765975,60.047090996,27400
250,0.0332454679676,62.061542958,28500
260,0.0331718605593,64.055940469,29600
270,0.0324481072681,66.046172382,30700
280,0.0330338279762,68.349910725,31800
290,0.0328856272246,70.529676506,32900
300,0.0332698835357,72.738996409,34000
310,0.0337493499541,74.883153183,35100
320,0.0326052304933,77.664410042,36200
330,0.032544630711,80.56251576,37300
340,0.0335490960363,82.587988451,38400
350,0.0341116553645,84.664600138,39500
360,0.0333346349565,86.671262869,40600
370,0.0343897687607,88.734593715,41700
380,0.035186521929,90.822304196,42800
390,0.0343913686551,92.981878711,43900
400,0.0342544880227,95.906263358,45000
410,0.0346451929146,99.454904046,46100
420,0.0366019561395,103.158240233,47200
430,0.0341166810012,106.651820193,48300
440,0.0354295372995,108.756314078,49400
450,0.0363500387454,111.503034503,50500
460,0.0363762490108,114.30566076,51600
470,0.0353572537403,116.305495572,52700
480,0.0367898140012,118.368017935,53800
490,0.0367330499699,120.726521649,54900
500,0.0372205608525,124.153988322,56000
510,0.0364310501024,126.20868395,57100
520,0.0360573102892,128.233453371,58200
530,0.0358499558996,132.057226537,59300
540,0.0371651918936,135.55027696,60400
550,0.0362286576886,137.577993916,61500
560,0.0357859108435,140.007069462,62600
570,0.036703846187,142.432498787,63700
580,0.0356804101227,144.612847102,64800
590,0.0357803320547,146.847573274,65900
600,0.0360503755707,148.956875078,67000
610,0.0366730134215,150.987699685,68100
620,0.0378002723928,153.3092012,69200
630,0.0372996143097,155.446963529,70300
640,0.0382809537306,157.629027886,71400
650,0.0378960354351,160.233128061,72500
660,0.0385292970895,162.574635419,73600
670,0.0371499748393,166.216476117,74700
680,0.0379379528995,169.305187995,75800
690,0.0381020681752,172.309627766,76900
700,0.0377871363985,174.992325049,78000
710,0.0390644803489,177.075935522,79100
720,0.037462638639,179.224228671,80200
730,0.0374989449063,181.358358866,81300
740,0.0365579854604,183.682728089,82400
750,0.0387502223333,186.002236643,83500
760,0.0365879315087,189.517616242,84600
770,0.0374164852198,192.558694181,85700
780,0.0386133989819,194.871929788,86800
790,0.0385017652602,196.900568132,87900
800,0.037366942076,198.989628519,89000
810,0.0383609125776,201.001804868,90100
820,0.0368861984782,203.698735849,91200
830,0.0387204743902,206.520300821,92300
840,0.0385292788184,208.855104557,93400
850,0.0375423536634,211.01744537,94500
860,0.0378010933161,213.581601037,95600
870,0.0388764390577,215.619193137,96700
880,0.0368414950561,217.82100416,97800
890,0.0376913598147,220.215494664,98900
900,0.0382958895693,222.252860857,100000
910,0.0386944289267,224.289810642,101100
920,0.0375635273849,226.305270771,102200
930,0.0391415170071,228.341070363,103300
940,0.0388425319351,230.34049598,104400
950,0.03752188225,232.364903165,105500
960,0.0383068944917,234.36694725,106600
970,0.0397434974682,236.387783777,107700
980,0.0384912038107,238.391103847,108800
990,0.0374424906905,240.383981447,109900
1000,0.0396534407996,242.419573416,111000
1010,0.0382343331932,244.480670917,112100
1020,0.037501195862,246.474158165,113200
