iterations,fitness,time,fevals
0,26.0,0.310212536,1000
10,34.0,0.567039038,2100
20,35.0,0.987627305,3200
30,35.0,1.206705894,4300
40,34.0,1.391661384,5400
50,38.0,1.549667743,6500
60,34.0,1.667556878,7600
70,35.0,1.80464477,8700
80,34.0,1.900593135,9800
90,34.0,2.000301784,10900
100,35.0,2.091476482,12000
110,36.0,2.158318226,13100
120,34.0,2.220402879,14200
130,34.0,2.292380979,15300
140,34.0,2.359668932,16400
150,34.0,2.433895777,17500
160,34.0,2.502845216,18600
170,36.0,2.574667849,19700
180,34.0,2.646727485,20800
190,38.0,2.713999143,21900
200,37.0,2.785347809,23000
210,34.0,2.857940628,24100
220,33.0,2.917928404,25200
230,39.0,2.982900882,26300
240,39.0,3.055403025,27400
250,34.0,3.117866717,28500
260,34.0,3.17943745,29600
270,38.0,3.249254378,30700
280,34.0,3.32109628,31800
290,36.0,3.38060792,32900
300,34.0,3.444954085,34000
310,34.0,3.514893855,35100
320,34.0,3.587106666,36200
330,34.0,3.663184576,37300
340,34.0,3.801094901,38400
350,34.0,3.872540644,39500
360,37.0,3.944511881,40600
370,34.0,4.010306378,41700
380,34.0,4.073928109,42800
390,34.0,4.138494421,43900
400,34.0,4.205606239,45000
410,38.0,4.272901542,46100
420,34.0,4.338086269,47200
430,34.0,4.397323932,48300
440,34.0,4.456840054,49400
450,38.0,4.515481907,50500
460,37.0,4.57718579,51600
470,34.0,4.639510483,52700
480,33.0,4.697118417,53800
490,34.0,4.760971455,54900
500,34.0,4.82652949,56000
510,34.0,4.885932551,57100
520,34.0,4.943859536,58200
530,34.0,5.002590276,59300
540,38.0,5.061882392,60400
550,34.0,5.121854451,61500
560,34.0,5.186672687,62600
570,38.0,5.250563089,63700
580,34.0,5.310828674,64800
590,39.0,5.371049615,65900
600,35.0,5.43217096,67000
610,34.0,5.49008199,68100
620,39.0,5.549243452,69200
630,39.0,5.60781846,70300
640,39.0,5.665774586,71400
650,35.0,5.727467169,72500
660,35.0,5.786711191,73600
670,37.0,5.845277973,74700
680,35.0,5.904397169,75800
690,37.0,5.963830451,76900
700,38.0,6.023443801,78000
710,40.0,6.083010756,79100
720,38.0,6.145857126,80200
730,40.0,6.210809236,81300
740,38.0,6.271548894,82400
750,39.0,6.333947592,83500
760,40.0,6.394965201,84600
770,40.0,6.459141997,85700
780,40.0,6.520379715,86800
790,41.0,6.583278166,87900
800,38.0,6.642707971,89000
810,37.0,6.704372424,90100
820,37.0,6.761374451,91200
830,38.0,6.819781544,92300
840,39.0,6.880706125,93400
850,38.0,6.940999831,94500
860,37.0,7.002669915,95600
870,37.0,7.058274812,96700
880,37.0,7.114897946,97800
890,40.0,7.172134214,98900
900,39.0,7.23359977,100000
910,37.0,7.293494956,101100
920,37.0,7.352194664,102200
930,37.0,7.4129499,103300
940,37.0,7.468540837,104400
950,37.0,7.528551879,105500
960,37.0,7.586583634,106600
970,40.0,7.644038878,107700
980,37.0,7.705415991,108800
990,37.0,7.762505204,109900
1000,37.0,7.818850074,111000
1010,37.0,7.877862638,112100
1020,37.0,7.934660196,113200
1030,37.0,7.993954899,114300
1040,38.0,8.04970967,115400
1050,40.0,8.106137065,116500
1060,37.0,8.168390243,117600
1070,37.0,8.232439869,118700
1080,37.0,8.291690231,119800
1090,40.0,8.354176764,120900
1100,37.0,8.411320819,122000
1110,40.0,8.468778661,123100
1120,38.0,8.529101029,124200
1130,39.0,8.587978457,125300
1140,37.0,8.644987121,126400
1150,40.0,8.705578472,127500
1160,38.0,8.761906833,128600
1170,38.0,8.819882803,129700
1180,37.0,8.875893711,130800
1190,38.0,8.933680828,131900
1200,39.0,8.991666563,133000
1210,37.0,9.048572315,134100
1220,40.0,9.105925673,135200
1230,37.0,9.168798012,136300
1240,40.0,9.227162878,137400
1250,37.0,9.287253069,138500
1260,37.0,9.348544434,139600
1270,37.0,9.407170084,140700
1280,37.0,9.464557113,141800
1290,40.0,9.523908213,142900
1300,40.0,9.583733921,144000
1310,37.0,9.648305608,145100
1320,37.0,9.705546707,146200
1330,37.0,9.763619886,147300
1340,39.0,9.819397474,148400
1350,37.0,9.876851348,149500
1360,40.0,9.933773554,150600
1370,42.0,9.991316932,151700
1380,37.0,10.048356733,152800
1390,42.0,10.106701114,153900
1400,40.0,10.166749084,155000
1410,40.0,10.223383408,156100
1420,40.0,10.281532523,157200
1430,40.0,10.341671474,158300
1440,40.0,10.39825851,159400
1450,40.0,10.456365113,160500
1460,40.0,10.516760458,161600
1470,37.0,10.573399341,162700
1480,37.0,10.634191502,163800
1490,40.0,10.694442647,164900
1500,37.0,10.750883549,166000
1510,38.0,10.809172223,167100
1520,40.0,10.86529669,168200
1530,37.0,10.923539929,169300
1540,37.0,10.981062708,170400
1550,38.0,11.038515568,171500
1560,39.0,11.096494589,172600
1570,38.0,11.156045402,173700
1580,38.0,11.212548987,174800
1590,40.0,11.271393736,175900
1600,40.0,11.329969042,177000
1610,37.0,11.387333644,178100
1620,37.0,11.445580404,179200
1630,37.0,11.502417254,180300
1640,38.0,11.560390907,181400
1650,37.0,11.624659265,182500
1660,40.0,11.682119761,183600
1670,39.0,11.738023615,184700
1680,37.0,11.796778977,185800
1690,38.0,11.85379882,186900
1700,37.0,11.910285224,188000
1710,37.0,11.966991472,189100
1720,39.0,12.024954925,190200
1730,40.0,12.081575733,191300
1740,37.0,12.143024066,192400
1750,38.0,12.199039729,193500
1760,37.0,12.256570267,194600
1770,37.0,12.314125794,195700
1780,37.0,12.3714202,196800
1790,37.0,12.429613745,197900
1800,38.0,12.488343455,199000
1810,38.0,12.547381689,200100
1820,37.0,12.610134721,201200
1830,38.0,12.667296269,202300
1840,37.0,12.72250103,203400
1850,39.0,12.778198987,204500
1860,41.0,12.838275824,205600
1870,40.0,12.901291963,206700
1880,38.0,12.958561648,207800
1890,37.0,13.017183552,208900
1900,40.0,13.076571069,210000
1910,38.0,13.134155686,211100
1920,38.0,13.194086257,212200
1930,40.0,13.25268904,213300
1940,38.0,13.312220506,214400
1950,39.0,13.368572053,215500
1960,39.0,13.426214483,216600
1970,39.0,13.484556007,217700
1980,39.0,13.542707628,218800
1990,39.0,13.605243352,219900
2000,42.0,13.663855928,221000
2010,43.0,13.722041038,222100
2020,40.0,13.779491779,223200
2030,39.0,13.837893612,224300
2040,41.0,13.89585741,225400
2050,40.0,13.953320008,226500
2060,41.0,14.010199699,227600
2070,41.0,14.072859834,228700
2080,38.0,14.129572571,229800
2090,41.0,14.187496342,230900
2100,41.0,14.244769987,232000
2110,41.0,14.30369089,233100
2120,39.0,14.36473553,234200
2130,40.0,14.432124247,235300
2140,39.0,14.491701383,236400
2150,41.0,14.554152033,237500
2160,40.0,14.622230239,238600
2170,42.0,14.680207707,239700
2180,42.0,14.73929975,240800
2190,42.0,14.799584071,241900
2200,41.0,14.859193272,243000
2210,41.0,14.917626377,244100
2220,40.0,14.975200786,245200
2230,39.0,15.03476416,246300
2240,40.0,15.094683616,247400
2250,41.0,15.154176583,248500
2260,40.0,15.21122994,249600
2270,40.0,15.271184965,250700
2280,42.0,15.33046711,251800
2290,42.0,15.39019605,252900
2300,42.0,15.447291443,254000
2310,43.0,15.507013577,255100
2320,43.0,15.570211122,256200
2330,42.0,15.627636366,257300
2340,42.0,15.687448513,258400
2350,42.0,15.74422062,259500
2360,42.0,15.803082393,260600
2370,43.0,15.865381224,261700
2380,43.0,15.923692718,262800
2390,47.0,15.98429027,263900
2400,45.0,16.04781466,265000
2410,43.0,16.106300512,266100
2420,43.0,16.165294531,267200
2430,43.0,16.222862597,268300
2440,45.0,16.282695139,269400
2450,42.0,16.342655265,270500
2460,44.0,16.399026108,271600
2470,44.0,16.456191691,272700
2480,43.0,16.516735991,273800
2490,44.0,16.577164222,274900
2500,44.0,16.634599882,276000
2510,44.0,16.69206886,277100
2520,43.0,16.750516384,278200
2530,44.0,16.810364671,279300
2540,45.0,16.867666693,280400
2550,50.0,16.927382047,281500
2560,44.0,16.984717383,282600
2570,44.0,17.042993594,283700
2580,44.0,17.102105911,284800
2590,43.0,17.162038995,285900
2600,43.0,17.221739963,287000
2610,44.0,17.278544594,288100
2620,43.0,17.337468114,289200
2630,43.0,17.394224077,290300
2640,43.0,17.451691149,291400
2650,44.0,17.512307623,292500
2660,44.0,17.569904578,293600
2670,43.0,17.627643191,294700
2680,44.0,17.685090859,295800
2690,44.0,17.741211357,296900
2700,44.0,17.798778239,298000
2710,44.0,17.856051794,299100
2720,50.0,17.913810317,300200
2730,43.0,17.971855862,301300
2740,44.0,18.031128504,302400
2750,44.0,18.095938169,303500
2760,44.0,18.153511563,304600
2770,44.0,18.210221688,305700
2780,44.0,18.270689881,306800
2790,44.0,18.33176841,307900
2800,44.0,18.388568806,309000
2810,46.0,18.446944238,310100
2820,45.0,18.513173902,311200
2830,47.0,18.575299541,312300
2840,46.0,18.634027105,313400
2850,44.0,18.690659403,314500
2860,46.0,18.750840388,315600
2870,44.0,18.81037302,316700
2880,44.0,18.875805695,317800
2890,44.0,18.93370388,318900
2900,44.0,18.995679858,320000
2910,45.0,19.056775314,321100
2920,46.0,19.114819318,322200
2930,46.0,19.173456735,323300
2940,46.0,19.232568883,324400
2950,46.0,19.290045366,325500
2960,43.0,19.349677945,326600
2970,46.0,19.406398352,327700
2980,46.0,19.466798574,328800
2990,46.0,19.525727694,329900
3000,46.0,19.582221203,331000
3010,47.0,19.638355948,332100
3020,47.0,19.695256654,333200
3030,46.0,19.752725368,334300
3040,46.0,19.810463941,335400
3050,46.0,19.871717297,336500
3060,46.0,19.929126029,337600
3070,47.0,19.990178462,338700
3080,47.0,20.05118333,339800
3090,47.0,20.109544515,340900
3100,46.0,20.168142046,342000
3110,47.0,20.226697426,343100
3120,47.0,20.28343916,344200
3130,46.0,20.34111629,345300
3140,47.0,20.399508256,346400
3150,47.0,20.460927778,347500
3160,47.0,20.517455053,348600
3170,46.0,20.573560758,349700
3180,46.0,20.630737803,350800
3190,47.0,20.687968651,351900
3200,46.0,20.744906064,353000
3210,47.0,20.799846064,354100
3220,46.0,20.858433655,355200
3230,46.0,20.915414373,356300
3240,47.0,20.973831918,357400
3250,47.0,21.031042605,358500
3260,47.0,21.088888412,359600
3270,47.0,21.152383923,360700
3280,47.0,21.218055758,361800
3290,46.0,21.281989959,362900
3300,47.0,21.340995652,364000
3310,46.0,21.403557754,365100
3320,46.0,21.463689407,366200
3330,46.0,21.526604869,367300
3340,47.0,21.59137796,368400
3350,46.0,21.650740635,369500
3360,46.0,21.706919277,370600
3370,47.0,21.762821257,371700
3380,47.0,21.819772362,372800
3390,47.0,21.87815558,373900
3400,47.0,21.942129849,375000
3410,47.0,22.018204044,376100
3420,46.0,22.094642807,377200
3430,46.0,22.150384763,378300
3440,46.0,22.208562916,379400
3450,46.0,22.265065035,380500
3460,46.0,22.322699439,381600
3470,47.0,22.38774004,382700
3480,46.0,22.457672656,383800
3490,46.0,22.518074453,384900
3500,46.0,22.577993337,386000
3510,46.0,22.636293973,387100
3520,47.0,22.703516504,388200
3530,46.0,22.768739996,389300
3540,46.0,22.826376818,390400
3550,47.0,22.882489332,391500
3560,46.0,22.941080895,392600
3570,47.0,23.004326464,393700
3580,47.0,23.061436952,394800
