iterations,fitness,time,fevals
0,25.0,0.091967939,1000
10,41.0,0.178798199,2100
20,33.0,0.257134492,3200
30,34.0,0.329711058,4300
40,39.0,0.402383967,5400
50,39.0,0.469183812,6500
60,39.0,0.539925239,7600
70,38.0,0.609045628,8700
80,38.0,0.678789453,9800
90,39.0,0.744028327,10900
100,37.0,0.816823026,12000
110,39.0,0.897392284,13100
120,38.0,0.959426686,14200
130,39.0,1.0408349,15300
140,39.0,1.125998932,16400
150,38.0,1.198561014,17500
160,38.0,1.262635915,18600
170,39.0,1.325450881,19700
180,38.0,1.393670083,20800
190,39.0,1.46491046,21900
200,38.0,1.529337325,23000
210,39.0,1.600896827,24100
220,39.0,1.672746548,25200
230,39.0,1.759972395,26300
240,40.0,1.833702405,27400
250,40.0,1.898501256,28500
260,44.0,1.966622617,29600
270,42.0,2.045038433,30700
280,40.0,2.114057472,31800
290,40.0,2.183662371,32900
300,41.0,2.252973179,34000
310,41.0,2.319311957,35100
320,41.0,2.384288735,36200
330,41.0,2.447652684,37300
340,43.0,2.513900477,38400
350,42.0,2.584980956,39500
360,41.0,2.66028622,40600
370,40.0,2.732300041,41700
380,42.0,2.801871149,42800
390,41.0,2.872602933,43900
400,41.0,2.948202559,45000
410,41.0,3.017334042,46100
420,41.0,3.094928389,47200
430,41.0,3.177494363,48300
440,41.0,3.246547475,49400
450,41.0,3.311280758,50500
460,41.0,3.378232886,51600
470,41.0,3.449184563,52700
480,41.0,3.5139653,53800
490,44.0,3.575854457,54900
500,41.0,3.644828687,56000
510,41.0,3.714462886,57100
520,42.0,3.778965687,58200
530,43.0,3.842981212,59300
540,52.0,3.905630871,60400
550,41.0,3.968702338,61500
560,41.0,4.031442944,62600
570,41.0,4.096228765,63700
580,44.0,4.160239414,64800
590,41.0,4.222306849,65900
600,43.0,4.285132387,67000
610,41.0,4.348481499,68100
620,41.0,4.410683616,69200
630,41.0,4.472802865,70300
640,47.0,4.537153094,71400
650,42.0,4.605219474,72500
660,44.0,4.667312188,73600
670,42.0,4.73488004,74700
680,52.0,4.80464842,75800
690,52.0,4.868078968,76900
700,53.0,4.933989617,78000
710,52.0,5.000335704,79100
720,54.0,5.065950551,80200
730,52.0,5.135987495,81300
740,54.0,5.200296231,82400
750,53.0,5.263848642,83500
760,54.0,5.329450868,84600
770,53.0,5.392434982,85700
780,56.0,5.455176818,86800
790,55.0,5.518088112,87900
800,55.0,5.583372309,89000
810,54.0,5.646836506,90100
820,57.0,5.709510323,91200
830,56.0,5.771290604,92300
840,56.0,5.836862723,93400
850,55.0,5.908859725,94500
860,56.0,5.975706007,95600
870,55.0,6.038927169,96700
880,56.0,6.108637669,97800
890,56.0,6.174038974,98900
900,56.0,6.235333861,100000
910,54.0,6.299016918,101100
920,55.0,6.364529938,102200
930,56.0,6.426831761,103300
940,55.0,6.489458232,104400
950,55.0,6.554771131,105500
960,56.0,6.617275132,106600
970,56.0,6.68261305,107700
980,55.0,6.744961792,108800
990,54.0,6.808245186,109900
1000,55.0,6.872740712,111000
1010,55.0,6.943968419,112100
1020,55.0,7.007746392,113200
1030,55.0,7.076923748,114300
1040,55.0,7.139984864,115400
1050,55.0,7.20430411,116500
1060,55.0,7.267167507,117600
1070,55.0,7.332229399,118700
1080,55.0,7.393492486,119800
1090,55.0,7.455602793,120900
1100,55.0,7.519697622,122000
1110,56.0,7.585752616,123100
1120,55.0,7.650388285,124200
1130,58.0,7.712284012,125300
1140,55.0,7.779840785,126400
1150,56.0,7.849770917,127500
1160,56.0,7.924386488,128600
1170,55.0,7.991297024,129700
1180,54.0,8.06997262,130800
1190,55.0,8.138638793,131900
1200,58.0,8.205026565,133000
1210,56.0,8.267627408,134100
1220,55.0,8.329448963,135200
1230,57.0,8.391461309,136300
1240,55.0,8.454922504,137400
1250,55.0,8.520393986,138500
1260,56.0,8.583181907,139600
1270,55.0,8.648328677,140700
1280,55.0,8.70992572,141800
1290,55.0,8.772505522,142900
1300,55.0,8.834166472,144000
1310,56.0,8.903861497,145100
1320,54.0,8.975686085,146200
1330,55.0,9.055797423,147300
1340,56.0,9.121468174,148400
1350,55.0,9.184891861,149500
1360,57.0,9.248107732,150600
1370,55.0,9.312660646,151700
1380,54.0,9.375053403,152800
1390,57.0,9.438779387,153900
1400,57.0,9.503249488,155000
1410,56.0,9.569061192,156100
1420,55.0,9.633467252,157200
1430,55.0,9.697691537,158300
1440,55.0,9.759790826,159400
1450,54.0,9.823998366,160500
1460,55.0,9.887614986,161600
1470,55.0,9.952056517,162700
1480,54.0,10.021543605,163800
