iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.133748203176,0.129780501319,0.13517218804,0.524498718529,0.536408864767,0.520578923564,0.00766817900001
10,0.134912830727,0.130758523991,0.136206031594,0.521785014322,0.542288557214,0.518317503392,0.0834607579999
20,0.131465915269,0.127837784506,0.132752096377,0.535052012664,0.557213930348,0.53052917232,0.158767717
30,0.13136100317,0.127220179896,0.132604045005,0.525101763908,0.547715965626,0.527815468114,0.23464586
40,0.124219306982,0.120175375741,0.125733931695,0.564601236243,0.585707824514,0.559023066486,0.310797371
50,0.121986236742,0.11821057964,0.123510121816,0.565656565657,0.598371777476,0.559927634555,0.394980539
60,0.12287793627,0.11917794358,0.124625089168,0.563545906829,0.58842152872,0.556761646314,0.476748718
70,0.11815473921,0.114725827395,0.119966393633,0.586160108548,0.619629127092,0.587064676617,0.562452241
80,0.117962836628,0.114588785439,0.119766904438,0.587516960651,0.617819990954,0.582541836273,0.64368871
90,0.113312123525,0.110410077714,0.114933128178,0.627468717021,0.650836725464,0.614654002714,0.724840039
100,0.107915697003,0.105751139173,0.108838952008,0.661993064978,0.682948891904,0.652645861601,0.815753975
110,0.106295777087,0.104410519184,0.10709789811,0.670737222976,0.692446856626,0.664857530529,0.897981959
120,0.104612797174,0.1028189773,0.10541837218,0.684456505352,0.702397105382,0.675712347354,0.978553886
130,0.103678496338,0.102130019044,0.104564546696,0.693351424695,0.70737222976,0.691090004523,1.061210571
140,0.102553182612,0.101326206732,0.103377648764,0.702547866727,0.71144278607,0.703301673451,1.142316401
150,0.100623050359,0.0993926714874,0.101480406232,0.710085933967,0.725463591135,0.71144278607,1.223414955
160,0.0997292397397,0.0984410480592,0.100651341354,0.711744308759,0.725463591135,0.718227046585,1.305747275
170,0.09592837739,0.0948718867695,0.0973273273304,0.717925523896,0.727725011307,0.716417910448,1.386704265
180,0.0953686107527,0.0945313568226,0.0964724077959,0.716417910448,0.715513342379,0.712347354138,1.469292869
190,0.0933694791649,0.0925850610791,0.0948192402183,0.725162068446,0.732247851651,0.715965626413,1.551100491
200,0.092584986026,0.0917399655315,0.0939766363199,0.727875772652,0.741745816373,0.723654454998,1.632899737
210,0.0918276556949,0.0913479289994,0.0932636999653,0.730287954169,0.74038896427,0.725011307101,1.713625902
220,0.0911968701273,0.0909363376765,0.0927978911114,0.732097090306,0.744007236545,0.725011307101,1.796111079
230,0.0910341249896,0.0908097232518,0.0927156470864,0.733604703754,0.745364088648,0.72908186341,1.879041328
240,0.0901730063064,0.0899380236046,0.0915757899231,0.744007236545,0.745816372682,0.737675260063,1.961501829
250,0.0878997841551,0.0879266544738,0.0891020267348,0.75079149706,0.751696065129,0.745816372682,2.045285415
260,0.0885999965171,0.0885106136835,0.089755946133,0.748982360923,0.748530076888,0.741293532338,2.127472856
270,0.0866605282509,0.086888151945,0.0875894740354,0.75109301975,0.750339213026,0.744007236545,2.209735711
280,0.0856909481011,0.0862444986581,0.0867469763036,0.754409769335,0.748077792854,0.746720940751,2.294985252
290,0.0845864113041,0.0850785647439,0.0855097957943,0.759686416403,0.74762550882,0.751696065129,2.416252454
300,0.0803914488461,0.0813737877025,0.0816100421716,0.773707221468,0.761646313885,0.771144278607,2.502882373
310,0.0788776970494,0.0796386173192,0.0799795148355,0.781697572742,0.773857982813,0.776119402985,2.585825639
320,0.0764440143094,0.0769360382472,0.0775167174228,0.793758480326,0.789687924016,0.796924468566,2.715773232
330,0.076198169033,0.0771661845508,0.0773154405813,0.79074325343,0.784260515604,0.790592492085,2.811704436
340,0.0751831146544,0.0760303531923,0.0761035732911,0.794813809739,0.789687924016,0.795567616463,2.912120114
350,0.0749354312191,0.0757111093014,0.0759078312307,0.79797979798,0.792401628223,0.796019900498,3.007086722
360,0.0728664102968,0.0745109610269,0.0739563499937,0.798432082014,0.787878787879,0.800090456807,3.090672263
370,0.0713916905765,0.0729559809383,0.0727135090538,0.807628524046,0.796924468566,0.806422433288,3.18751548
380,0.0695063463208,0.0707142142039,0.0705700699317,0.820292477009,0.814111261872,0.810040705563,3.269613677
390,0.0685060342197,0.0695517818148,0.0696698075694,0.823910749284,0.819538670285,0.818181818182,3.35582329
400,0.0684131519877,0.0693872145041,0.0695352473158,0.825719885421,0.819990954319,0.818181818182,3.438998498
410,0.0675641433754,0.0684955020182,0.0686422812642,0.828282828283,0.825418362732,0.821800090457,3.522071817
420,0.0672708852936,0.0680152661221,0.0682796317822,0.829941203076,0.827227498869,0.824061510629,3.604613917
430,0.0665007009732,0.0671586259116,0.0676659303776,0.832956429971,0.830845771144,0.827679782904,3.686797427
440,0.0651784708255,0.0662573700961,0.0665230554978,0.835067088798,0.821347806422,0.829036635007,3.774301571
450,0.0645065932078,0.0651422131421,0.0656860065671,0.838383838384,0.83039348711,0.83763003166,3.858163281
460,0.0642279584623,0.0648505783218,0.0653933891243,0.842906678728,0.833107191316,0.8407960199,3.941050829
470,0.0643084223665,0.0648415099982,0.0654913535776,0.843509724107,0.836273179557,0.841248303935,4.025270727
480,0.0601974411455,0.0605496657717,0.0616951580579,0.854364540932,0.845771144279,0.848484848485,4.107499188
490,0.060082294205,0.0604704463683,0.0615396783817,0.853761495553,0.846223428313,0.84803256445,4.190099404
