iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
340,0.074740019,0.072874313,0.073613373,0.799185889,0.804613297,0.799185889,2.921541436
350,0.075301739,0.074152849,0.074096467,0.795266094,0.794210764,0.796924469,3.002683074
360,0.075340507,0.073773802,0.074082666,0.794210764,0.793306196,0.794663048,3.084355468
370,0.073507734,0.0716032,0.072680884,0.805970149,0.808231569,0.806874717,3.165262893
380,0.072199346,0.070341433,0.071412965,0.813658978,0.822252374,0.819086386,3.246813525
390,0.069110217,0.067363401,0.068410892,0.824513795,0.833559475,0.827227499,3.327859782
400,0.067873701,0.06645367,0.066810052,0.819840193,0.817729534,0.820443238,3.408778104
410,0.065886214,0.065219562,0.065344842,0.824513795,0.823609227,0.823156943,3.490068581
420,0.066452867,0.065671706,0.06640694,0.823759988,0.826775215,0.81727725,3.570524091
430,0.064520547,0.063697048,0.064448329,0.831448817,0.835820896,0.829488919,3.651279924
440,0.065181007,0.064438547,0.064586493,0.827529022,0.831298055,0.833107191,3.73420759
450,0.06374115,0.06285891,0.063830008,0.83747927,0.841700588,0.834464043,3.813928035
460,0.064283336,0.063373405,0.064414132,0.837026986,0.842152872,0.833107191,3.8933919
470,0.063283036,0.062146593,0.063325397,0.837630032,0.839439168,0.835820896,3.973572391
480,0.062512673,0.061507326,0.062415982,0.83974069,0.844866576,0.837177748,4.053942944
490,0.06202341,0.060986811,0.06189502,0.841549827,0.844866576,0.838986884,4.133931337
500,0.061015408,0.059738299,0.061009263,0.84637419,0.850293985,0.842605156,4.213507757
510,0.060611544,0.059487424,0.060649562,0.851198553,0.854364541,0.843509724,4.292949249
520,0.060328169,0.059263003,0.060421254,0.851801598,0.853912257,0.84531886,4.3733848
530,0.060216011,0.059115636,0.060319644,0.852103121,0.856173677,0.847127996,4.454496938
540,0.059204868,0.057851344,0.058925386,0.856625961,0.862505654,0.853459973,4.535751114
550,0.05898136,0.057674454,0.058684603,0.855570632,0.861601085,0.848937133,4.617142053
