,0,1,2,3,4,5,6,7,8,9
2,0.5170375955552968,0.7221558141864818,0.7784369014432447,0.7619875139346955,0.7743953652301322,0.6981664471290866,0.6018374222808476,0.5891251203724404,0.48741438578118534,0.6321752460134474
3,0.8409932325321077,0.8123278072857725,0.8889242085452485,0.6835382646174747,0.4758456195980344,0.8525406765983627,0.6618342455847046,0.7918198617811618,0.8067409699636762,0.7289394985392693
4,0.7688812045756489,0.765809553089396,0.80689783318587,0.867469249096477,0.8633861799968753,0.8014012109080638,0.7418395160341706,0.7852687000532705,0.8574354464635192,0.8532992037307966
5,0.7948777071306671,0.8754473385083029,0.8693540997443193,0.8175237541280153,0.8491444782456665,0.8528510752534334,0.900498427454832,0.7511458399136427,0.788791902961956,0.826220213048411
6,0.8426491344163942,0.9089836024569162,0.8819977362205624,0.807220010578494,0.7904020266051214,0.8845043729285829,0.8470379173578293,0.8902922070754362,0.9133764872647332,0.8708672877500832
7,0.9025893148764073,0.8592567469104371,0.8925416307831554,0.7779913467797409,0.8473074387335973,0.9159213576729971,0.9149325930667325,0.8581308023860434,0.9334867476174988,0.7618007573968666
8,0.9327370638777247,0.8760261156661239,0.9133214158388925,0.8993915500196715,0.8661764484820381,0.9054919390765852,0.9369267395831771,0.8712427811213302,0.9373670477278698,0.8808476195065469
9,0.9117903916352811,0.8879495751788086,0.9056746757656956,0.9261003742544025,0.8955263604593827,0.914022348825752,0.9181966213804037,0.9050990127139326,0.9230843634899145,0.8811866067892293
10,0.8748313396083428,0.9057767000954304,0.8782253065793297,0.8991110628716289,0.9231336370620132,0.9087330974450718,0.9338738582890255,0.9257462741694394,0.9345165323201333,0.823054682807415
12,0.9430301241389243,0.8730313679981028,0.9275021574699811,0.9300864124089845,0.9430429645097175,0.9162039108982328,0.890480634929854,0.9336055982535091,0.9353522419276102,0.9354382776742102
15,0.9519653278045724,0.9685025230214165,0.9569976643182139,0.9002644175274235,0.9267028048594097,0.9233334644419339,0.9427129579894117,0.9576308088469336,0.9186553391862855,0.9307885722370728
