,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.01063675880432129,0.0005467891693115235,0.9032967032967033,0.9208921962222085,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 2}",8,0.9021739130434783,0.9228650137741047,0.8913043478260869,0.9201101928374655,0.8461538461538461,0.9423076923076923,0.9333333333333333,0.9041095890410958,0.9444444444444444,0.915068493150685,0.0015815097328007023,2.836303414902365e-05,0.034579743197703586,0.012479570763732201
1,0.006712532043457032,0.0006677627563476563,0.8791208791208791,0.8978015674653284,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 3}",11,0.9239130434782609,0.8953168044077136,0.8804347826086957,0.8953168044077136,0.8461538461538461,0.9065934065934066,0.8777777777777778,0.8986301369863013,0.8666666666666667,0.8931506849315068,0.0007712307739098336,0.00010455087209125841,0.025581803152192377,0.004732055915846165
2,0.010223817825317384,0.0005388736724853515,0.8967032967032967,0.9165041268403659,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 4}",9,0.9021739130434783,0.9146005509641874,0.8695652173913043,0.931129476584022,0.9120879120879121,0.9285714285714286,0.9111111111111111,0.9287671232876712,0.8888888888888888,0.8794520547945206,0.002040811037800468,2.403249816270401e-05,0.015982548483117327,0.01942360086114968
3,0.008651542663574218,0.0005342960357666016,0.9340659340659341,0.9302646834278215,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 5}",3,0.9565217391304348,0.9559228650137741,0.9456521739130435,0.9586776859504132,0.8901098901098901,0.9038461538461539,0.9222222222222223,0.8767123287671232,0.9555555555555556,0.9561643835616438,0.0016597925204716636,1.8087156886247278e-05,0.02519172710072365,0.0337704866906922
4,0.010215950012207032,0.000758218765258789,0.9230769230769231,0.9296623882551653,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 6}",4,0.9782608695652174,0.9228650137741047,0.9021739130434783,0.9393939393939394,0.8791208791208791,0.9093406593406593,0.9111111111111111,0.9397260273972603,0.9444444444444444,0.936986301369863,0.003296622621291454,0.00021586768377322536,0.034772875930889395,0.011906272208974283
5,0.006667137145996094,0.0005383491516113281,0.8945054945054945,0.8983389586751978,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 7}",10,0.9456521739130435,0.8870523415977961,0.9347826086956522,0.8980716253443526,0.8791208791208791,0.8983516483516484,0.8777777777777778,0.9013698630136986,0.8333333333333334,0.9068493150684932,0.0002283518834960658,1.891006555698766e-05,0.041228977024177736,0.006466403950258775
6,0.007194805145263672,0.0005382537841796875,0.9626373626373627,0.9631911052832598,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 8}",2,0.9891304347826086,0.9641873278236914,0.967391304347826,0.9614325068870524,0.9340659340659341,0.9725274725274725,0.9555555555555556,0.9643835616438357,0.9666666666666667,0.9534246575342465,0.0006386059759597468,2.7161977231622547e-05,0.01796902037306387,0.006132835148511646
7,0.008813571929931641,0.0005938053131103515,0.978021978021978,0.97252881199332,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 9}",1,0.9891304347826086,0.9724517906336089,0.967391304347826,0.9724517906336089,0.978021978021978,0.9752747252747253,0.9666666666666667,0.9726027397260274,0.9888888888888889,0.9698630136986301,0.0012234619786279128,6.333101187519829e-05,0.009831837436943306,0.0017125332222375034
8,0.008874988555908203,0.000527191162109375,0.9054945054945055,0.9231021241108414,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 10}",7,0.9347826086956522,0.9146005509641874,0.9347826086956522,0.9559228650137741,0.9010989010989011,0.9203296703296703,0.9111111111111111,0.9205479452054794,0.8444444444444444,0.9041095890410958,0.0025757572289747447,1.9972249091604075e-05,0.03307903326233623,0.017460839026863458
9,0.00871729850769043,0.0005362510681152343,0.9120879120879121,0.9296850015903566,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 12}",6,0.9239130434782609,0.90633608815427,0.9347826086956522,0.9669421487603306,0.8681318681318682,0.9285714285714286,0.9111111111111111,0.9260273972602739,0.9222222222222223,0.9205479452054794,0.0024125353385869913,1.5025592078004874e-05,0.023223835092700092,0.020156243139907357
10,0.009143590927124023,0.0006205081939697265,0.9230769230769231,0.9390271579810807,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'rp__n_components': 15}",4,0.9347826086956522,0.931129476584022,0.9456521739130435,0.9393939393939394,0.9340659340659341,0.9835164835164835,0.9111111111111111,0.9205479452054794,0.8888888888888888,0.9205479452054794,0.002908215774480912,0.00015898158463514175,0.020357378648787273,0.023344252381522934
