,0,1,2,3,4,5,6,7,8,9
2,0.9252527146097033,0.9024108333498928,0.9327346715185393,0.9336383527723092,0.9473640316294695,0.9406136907555085,0.902191602253805,0.923643206707511,0.943367173443561,0.9440140040878303
3,0.9184046218627305,0.8739678876413394,0.9240142362088237,0.9061445888241103,0.9239518240735318,0.8698341332174716,0.904234535149772,0.880053363676281,0.9049624440952052,0.925464137596441
4,0.8522023087619996,0.881026357520615,0.894460243359308,0.856490914422914,0.820104360150799,0.8527449158459899,0.8536483844735278,0.8918926225070596,0.8624612879946192,0.8634806031801929
5,0.8183921291798135,0.8422091728043487,0.7802029084204516,0.8274360881724245,0.7593981993192708,0.8372338466463914,0.7892369028262,0.8590495615031545,0.8367245845233376,0.8122857822380247
6,0.726340950076698,0.7802036159038986,0.7461391037329409,0.7727836808125953,0.778702877567817,0.7783563647352687,0.7427024420109971,0.8296659506774292,0.7495741865060933,0.7387251526554889
7,0.7710476306498043,0.7198880754276026,0.7345537289235655,0.7203222872818102,0.7693590756041462,0.6713081705758488,0.7265490570135907,0.7564473832129492,0.7748505734442371,0.7745487430100029
8,0.7173722775751848,0.7043487036223476,0.6925642613327053,0.6861225260153256,0.7605861498117729,0.7604157865315109,0.6430134057518643,0.7487065546464043,0.7176336193586176,0.6849738893840949
9,0.5885532045798703,0.6737325569140622,0.6691720071296922,0.5968798161707538,0.6531766725426957,0.5604983989258705,0.6648448617002257,0.7053142330432398,0.753763230364827,0.601326647406066
10,0.6808608862720117,0.6678055831668962,0.6398963686179544,0.6891939380394022,0.6081643785491736,0.6389758776076612,0.5881327983037178,0.637681127425431,0.57336479403939,0.5418461561077953
12,0.4360769128317358,0.5875356175407992,0.6611414180570706,0.5498872348764305,0.5308078256069986,0.45088736768012605,0.48705993610096066,0.5286272461098764,0.4517395077603336,0.4958306524557318
15,0.4353890950306752,0.4888958350648308,0.33019997672687834,0.39204327749295576,0.469876164473871,0.45418352116816063,0.42721852415326245,0.5539265416887884,0.4119781741439525,0.4506221401545706
