,BreastC log-likelihood,Faults log-likelihood
2,-6.547694722542971,-7.382297812355874
3,-6.2211113433604766,-6.542652540692561
4,-6.058377427788162,-5.7791155098796825
5,-5.979916912935074,-5.576116062291471
6,-5.825225951800966,-5.3897767462489705
7,-5.742746909971973,-5.206232382401509
8,-5.488838584584762,-5.240349779662453
9,-5.530462607782763,-4.552389749844649
10,-5.321597865895708,-4.66787093874384
