,BreastC SSE (left),Faults SSE (left)
2,2255.6235887289436,8164.44176784941
3,1849.8885572068898,6769.867324656372
4,1624.848142304759,5489.627942269477
5,1384.6498328352486,4551.912688338308
6,1249.0996994714449,4104.793992815361
7,1128.5787674436178,3664.081278080718
8,1054.6899845119287,3366.7535917877185
9,988.7004183382587,3104.4399696336372
10,939.4221939545087,2915.0063886555185
