iter,time,reward,steps,convergence
38,49.24592900000002,-20.0,113.0,3.1785430461790942
39,4.09029999999988,-160.0,262.0,3.069973933934549
40,2.8766159999999985,-299.0,300.0,3.3178171928758537
41,1.3334359999999101,-308.0,300.0,3.1013266063725626
42,4.433836000000024,-299.0,300.0,3.0106035524538095
43,6.790823000000001,-317.0,300.0,3.242999822591662
44,1.6387259999999237,-20.0,122.0,3.040311789964929
45,1.7641779999999496,-36.0,120.0,3.02106294672258
46,2.6715809999999784,-299.0,300.0,2.9572178235921127
47,2.2791470000000924,43.0,59.0,2.941966713128146
48,3.7614560000001074,-17.0,119.0,2.8874603668985515
49,4.70439899999997,-72.0,174.0,2.869602731455548
50,3.884280999999934,-80.0,182.0,2.46793465403636
51,4.791554000000087,-86.0,188.0,2.5199790258452297
52,1.486608999999861,30.0,72.0,2.4913541674942508
53,2.8391389999999905,21.0,81.0,2.4027576667136508
54,2.2185750000001114,-4.0,97.0,2.353160090500861
55,5.4697480000001075,-7.0,100.0,2.4328995115974017
56,2.1268569999999265,40.0,62.0,2.4682719541904694
57,5.112895000000117,-317.0,300.0,2.3292159796594825
58,2.7284320000000584,54.0,39.0,2.2293422111230905
59,2.9797209999999907,45.0,57.0,2.1563268439721797
60,5.363432999999862,-9.0,111.0,2.2120543235475276
61,3.4444250000000842,-56.0,158.0,2.1618509121132803
62,5.144499000000025,22.0,80.0,1.920705536481846
63,3.856765999999956,47.0,46.0,1.8308964655069886
64,4.661532000000079,69.0,33.0,1.9435258609285164
65,9.200783999999906,-34.0,118.0,1.9733219881569535
66,5.526016999999994,52.0,50.0,1.8977862758771131
67,7.3859210000000175,47.0,55.0,2.047691799372481
68,3.668138999999959,65.0,37.0,2.072987685061719
69,4.374380000000011,40.0,44.0,2.0225888837837283
70,2.5789220000000945,8.0,94.0,1.9728419543436295
71,1.5680600000000933,39.0,63.0,2.0705681716672046
72,3.3780129999998465,37.0,56.0,2.0390339858500752
73,2.0026509999999664,44.0,49.0,2.069616574929057
74,3.938109000000134,62.0,40.0,1.9851335966757304
75,5.089778999999961,46.0,56.0,2.0104951948386196
76,3.9432659999998343,64.0,38.0,2.079769705284268
77,1.9444399999999362,40.0,62.0,1.9740606769380924
78,2.5561270000000746,56.0,46.0,2.032805161908326
79,2.2008000000000028,48.0,54.0,2.0907655255620052
80,8.626774999999975,59.0,43.0,2.0105121583024426
81,2.00480599999997,63.0,39.0,1.9194522784446875
82,4.48159799999992,44.0,49.0,1.9782175583861288
83,1.2627259999999918,67.0,35.0,2.0011462758934973
