iter,time,reward,steps,convergence
1,130.799158,-317.0,300.0,79.8
2,121.05291199999996,-299.0,300.0,28.27548287395584
3,129.11243,-308.0,300.0,20.156897828347866
4,120.32604800000001,-299.0,300.0,15.70354790248686
5,112.76367800000008,-299.0,300.0,13.567981768809407
6,141.60451399999997,-299.0,300.0,9.588747278506759
7,66.88263900000003,-308.0,300.0,7.60277323664207
8,82.67681900000001,-299.0,300.0,6.207393785144172
9,134.83707099999998,-299.0,300.0,5.284765940108679
10,98.97842200000007,-299.0,300.0,3.490271484804209
11,149.25352000000004,-299.0,300.0,2.3754335909687025
12,150.31866800000014,-299.0,300.0,1.6152494129415578
13,192.56188000000017,9.0,93.0,1.377807989186214
14,161.38868400000007,61.0,41.0,0.9729734339774971
15,136.41084300000017,65.0,37.0,0.7866651877010042
16,183.7744429999999,63.0,39.0,0.6424741581807627
17,154.41583500000002,70.0,32.0,0.48058648256113745
18,166.58309900000035,59.0,43.0,0.3551089739346338
19,203.61601100000027,62.0,40.0,0.23935871430647992
20,183.80772400000023,64.0,38.0,0.15780221742971534
21,343.1942690000001,46.0,38.0,0.11736962998807599
22,446.25558099999995,66.0,36.0,0.08008295840740409
23,553.0453449999997,57.0,36.0,0.051529847687040053
24,694.1614229999997,67.0,35.0,0.0338659375037631
25,778.9856789999998,62.0,40.0,0.022269851555653197
26,847.6604989999998,54.0,48.0,0.014016202288915203
27,760.9364010000004,55.0,38.0,0.00835850393275095
28,808.4662679999992,69.0,33.0,0.004749100302428033
29,923.9648109999994,57.0,45.0,0.0025917461215767545
30,1158.8931949999992,57.0,36.0,0.0013681241273060252
31,1124.2596640000002,60.0,42.0,0.0007024334220906425
32,1104.7619490000002,65.0,37.0,0.0003522750019175902
33,1423.410123,65.0,37.0,0.00017372299597706586
34,1182.5869230000005,68.0,34.0,8.439671448279285e-05
35,1226.130051,68.0,34.0,4.0351677228045446e-05
36,1277.0271020000016,64.0,38.0,1.9023031480713826e-05
37,1409.0723300000009,67.0,35.0,8.856511857224802e-06
38,1459.3195829999993,64.0,38.0,4.077463439777773e-06
39,1556.180643000001,68.0,34.0,1.85848392764143e-06
40,1363.0372099999981,55.0,38.0,8.394575505832336e-07
41,1437.033195999998,57.0,36.0,3.760834879074082e-07
42,1634.2199450000016,55.0,38.0,1.6724127771539088e-07
43,1719.248825000001,63.0,39.0,7.38695327129335e-08
44,555.7045829999971,73.0,29.0,3.2426910046012836e-08
45,490.63061000000016,51.0,42.0,1.4154390548526408e-08
46,690.1046590000028,67.0,35.0,6.1464557887802584e-09
47,759.5473139999989,49.0,44.0,2.6563613531038754e-09
48,558.9994929999982,64.0,38.0,1.1429843738142154e-09
49,470.50596200000075,66.0,36.0,4.898170757883236e-10
50,548.1769460000016,71.0,31.0,2.0911805620471569e-10
51,549.6792559999974,62.0,40.0,8.896794412294184e-11
52,795.7212879999958,60.0,42.0,3.773070744728102e-11
53,544.675452,51.0,42.0,1.595079623939455e-11
54,613.7086820000022,69.0,33.0,6.7270633508087485e-12
55,615.6337870000002,66.0,36.0,2.8270719099054986e-12
56,601.2292069999958,57.0,36.0,1.1874945471390674e-12
57,548.2428810000001,62.0,40.0,4.9649173661237e-13
58,534.7437929999969,59.0,43.0,2.0961010704922955e-13
59,533.9040330000059,64.0,38.0,8.526512829121202e-14
60,769.9177769999962,53.0,49.0,3.552713678800501e-14
61,646.3307389999998,53.0,40.0,1.2434497875801753e-14
62,953.2111720000032,65.0,37.0,7.993605777301127e-15
63,787.5783459999966,58.0,44.0,3.552713678800501e-15
64,679.247617999998,68.0,34.0,1.7763568394002505e-15
65,652.0857509999942,66.0,36.0,8.881784197001252e-16
66,741.2579410000006,73.0,29.0,0.0
67,642.0223370000002,66.0,36.0,0.0
68,612.4495820000036,67.0,35.0,0.0
69,614.5293410000008,73.0,29.0,0.0
70,625.8270100000018,67.0,35.0,0.0
71,638.0222079999953,59.0,43.0,0.0
72,645.4513910000016,49.0,44.0,0.0
73,661.2337390000037,55.0,47.0,0.0
74,671.6465539999988,59.0,43.0,0.0
75,864.2801889999987,59.0,34.0,0.0
76,757.2591849999952,56.0,37.0,0.0
77,1120.887569000004,48.0,45.0,0.0
78,995.4182409999959,67.0,35.0,0.0
79,956.7510210000023,61.0,32.0,0.0
80,929.0907919999967,57.0,45.0,0.0
81,821.225357000003,65.0,37.0,0.0
82,984.4137509999982,53.0,49.0,0.0
83,999.0712629999975,65.0,37.0,0.0
84,881.1915420000034,65.0,37.0,0.0
85,813.462095999995,65.0,37.0,0.0
86,776.2583069999991,64.0,38.0,0.0
87,966.175027999995,56.0,46.0,0.0
88,801.274866,54.0,39.0,0.0
89,830.6726789999957,57.0,45.0,0.0
90,839.1563449999992,71.0,31.0,0.0
91,811.6262919999997,54.0,39.0,0.0
92,830.1517849999912,48.0,36.0,0.0
93,820.8440920000015,65.0,37.0,0.0
94,937.8361309999974,66.0,36.0,0.0
95,881.941372,65.0,37.0,0.0
96,1105.9645370000055,67.0,35.0,0.0
97,1000.6756300000035,69.0,33.0,0.0
98,969.6558910000022,67.0,35.0,0.0
99,930.157039000008,72.0,30.0,0.0
100,903.0085049999883,57.0,45.0,0.0
