iter,time,reward,steps,convergence,policy
42,255.36730599999657,64.0,38.0,3.16463236949005e-07,True
43,256.74438200000793,69.0,33.0,1.3975112089781305e-07,True
44,255.04326800000854,35.0,49.0,6.13394615101015e-08,True
45,263.19593899999916,70.0,32.0,2.67729989289478e-08,True
46,273.44024399999967,47.0,46.0,1.1625817641913727e-08,True
47,273.98047100000156,62.0,40.0,5.0245407834381695e-09,True
48,278.77303100000006,71.0,31.0,2.162091838897595e-09,True
49,285.87140499999464,66.0,36.0,9.266187817047467e-10,True
50,305.37185699999725,41.0,43.0,3.956479588396178e-10,True
51,302.832340000009,65.0,37.0,1.6834800220522084e-10,True
52,297.14772399999845,64.0,38.0,7.140066315969307e-11,True
53,454.7705559999997,72.0,30.0,3.019451355612546e-11,True
54,383.6709579999962,68.0,34.0,1.2729373111142195e-11,True
55,359.0715960000068,67.0,35.0,5.357492227631155e-12,True
56,349.4750389999979,66.0,36.0,2.2462032234216167e-12,True
57,342.1612509999932,65.0,37.0,9.396927680427325e-13,True
58,357.98204399999634,70.0,32.0,3.943512183468556e-13,True
59,365.26999800000226,66.0,36.0,1.6342482922482304e-13,True
60,349.2203349999983,64.0,38.0,6.750155989720952e-14,True
61,349.3851140000004,58.0,35.0,2.8421709430404007e-14,True
62,440.5519260000119,67.0,35.0,1.1546319456101628e-14,True
63,425.876283000008,49.0,53.0,6.217248937900877e-15,True
64,688.2395009999982,61.0,41.0,1.7763568394002505e-15,True
65,506.61678299999835,63.0,39.0,8.881784197001252e-16,True
66,423.48081999999465,49.0,44.0,0.0,True
67,408.4114019999987,68.0,34.0,0.0,True
68,419.1013850000047,70.0,32.0,0.0,True
69,416.22113999999044,66.0,36.0,0.0,True
70,403.2424850000069,65.0,37.0,0.0,True
71,419.37342900000374,61.0,41.0,0.0,True
72,792.14245,45.0,39.0,0.0,True
73,479.94251900000506,58.0,44.0,0.0,True
74,478.8625070000023,45.0,48.0,0.0,True
75,446.5094520000008,69.0,33.0,0.0,True
76,455.61170699998854,57.0,36.0,0.0,True
77,591.9748729999981,64.0,38.0,0.0,True
78,624.7367320000023,65.0,37.0,0.0,True
79,471.1091119999935,67.0,35.0,0.0,True
80,515.0719020000025,63.0,39.0,0.0,True
81,489.1566530000091,70.0,32.0,0.0,True
82,472.8845219999869,69.0,33.0,0.0,True
83,482.69104300000265,60.0,42.0,0.0,True
84,479.6863989999878,65.0,37.0,0.0,True
85,504.79448900000534,67.0,35.0,0.0,True
86,543.0512800000002,65.0,37.0,0.0,True
87,622.4597260000024,60.0,42.0,0.0,True
88,642.0810449999976,58.0,44.0,0.0,True
89,551.355908000005,62.0,40.0,0.0,True
90,886.6545059999993,65.0,37.0,0.0,True
91,701.6862000000117,66.0,36.0,0.0,True
92,564.6604679999996,53.0,40.0,0.0,True
93,546.339875000001,60.0,42.0,0.0,True
94,570.020970999991,55.0,38.0,0.0,True
95,617.2248569999965,62.0,40.0,0.0,True
96,595.7923149999971,63.0,39.0,0.0,True
97,684.1235449999914,66.0,36.0,0.0,True
98,582.5827710000056,60.0,42.0,0.0,True
99,583.421486000006,60.0,33.0,0.0,True
100,584.7825000000029,58.0,44.0,0.0,True
