,BreastC SSE (left),Faults SSE (left)
2,9141.63575720669,31346.971149972942
3,7919.072250814874,27817.60440205906
4,7272.895476269665,25812.50077520737
5,6685.32705447929,22198.737246207933
6,6264.1731113653805,20760.267722183948
7,5898.006946526708,19461.09860266123
8,5695.428562200915,18384.698655196466
9,5519.51054882463,17262.906693721972
10,5271.695297270422,16350.771938367288
