iterations,fitness,time,fevals
0,561.0,14.143848679,1000
10,605.0,27.462385292,2100
20,644.0,39.617112792,3200
30,681.0,50.861139188,4300
40,716.0,61.41814959,5400
50,734.0,71.8001094,6500
60,746.0,81.899008943,7600
70,744.0,91.741162965,8700
80,748.0,101.556944353,9800
90,750.0,111.313213993,10900
100,752.0,120.789986495,12000
110,750.0,130.201524006,13100
120,752.0,139.500462387,14200
130,750.0,148.826502459,15300
140,750.0,158.300082499,16400
150,752.0,167.704472978,17500
160,754.0,176.861373482,18600
170,752.0,186.312965836,19700
180,754.0,195.643981683,20800
190,752.0,205.251275922,21900
200,752.0,214.343801281,23000
210,752.0,223.730140606,24100
220,752.0,233.151805942,25200
230,752.0,242.383416882,26300
240,752.0,251.785186046,27400
250,750.0,261.13378497,28500
260,750.0,270.439833711,29600
270,756.0,279.756811133,30700
280,752.0,288.964426269,31800
290,754.0,298.304352816,32900
300,752.0,307.603264107,34000
310,752.0,317.645756384,35100
320,750.0,327.100498378,36200
330,750.0,336.227773607,37300
340,752.0,345.794978596,38400
350,750.0,355.227738635,39500
360,752.0,364.473418575,40600
370,750.0,373.819543905,41700
380,750.0,383.126211956,42800
390,750.0,392.393074372,43900
400,752.0,401.522966552,45000
410,752.0,410.8835496,46100
420,752.0,420.230200739,47200
430,750.0,429.473191636,48300
440,750.0,438.97730105,49400
450,752.0,448.158821349,50500
460,752.0,457.493221456,51600
470,752.0,466.791267434,52700
480,752.0,476.316834215,53800
490,750.0,485.921409121,54900
500,750.0,495.575668603,56000
510,754.0,504.793792651,57100
520,752.0,514.044914775,58200
530,752.0,523.460099579,59300
540,754.0,532.682501691,60400
550,752.0,542.099098964,61500
560,750.0,551.426810031,62600
570,754.0,560.614058,63700
580,750.0,569.701147848,64800
590,752.0,579.123690443,65900
600,750.0,588.623328023,67000
610,751.0,597.890990817,68100
620,754.0,607.112061593,69200
630,750.0,616.516797304,70300
640,752.0,625.713771476,71400
650,750.0,635.238797417,72500
660,754.0,644.412572832,73600
670,752.0,655.147229745,74700
680,752.0,665.108514286,75800
690,756.0,674.791151545,76900
700,752.0,684.110505177,78000
710,752.0,693.686217146,79100
720,750.0,702.921144785,80200
730,752.0,712.488610436,81300
740,752.0,721.671413791,82400
750,752.0,730.809745606,83500
760,751.0,740.198703101,84600
770,752.0,749.624494191,85700
780,752.0,758.892500143,86800
790,752.0,768.32844114,87900
800,750.0,777.589643466,89000
810,752.0,787.133160413,90100
820,750.0,796.474207407,91200
830,752.0,805.730874611,92300
840,752.0,815.035081409,93400
850,750.0,824.294217284,94500
860,750.0,834.581365965,95600
870,750.0,844.106823773,96700
880,754.0,853.397005504,97800
890,750.0,862.942765753,98900
900,752.0,872.154898205,100000
910,750.0,881.630126751,101100
920,750.0,891.118273541,102200
930,752.0,900.394933414,103300
940,750.0,909.862160476,104400
950,750.0,919.765157656,105500
960,754.0,930.133527659,106600
970,752.0,939.552385848,107700
980,752.0,948.833684504,108800
990,752.0,958.135456609,109900
1000,752.0,967.974517655,111000
1010,750.0,977.94858494,112100
1020,754.0,987.495443757,113200
1030,752.0,997.017280523,114300
1040,750.0,1006.40682284,115400
1050,752.0,1015.70602005,116500
1060,752.0,1025.02654289,117600
1070,752.0,1034.29239274,118700
1080,752.0,1043.73800091,119800
1090,752.0,1053.09834615,120900
1100,754.0,1062.42750232,122000
1110,752.0,1071.81292492,123100
1120,752.0,1081.37506641,124200
1130,752.0,1090.403906,125300
1140,752.0,1099.88515897,126400
1150,750.0,1109.32897323,127500
1160,750.0,1118.55805867,128600
1170,752.0,1127.98176477,129700
1180,752.0,1137.12405427,130800
1190,752.0,1146.55584485,131900
1200,754.0,1155.73728287,133000
1210,752.0,1165.06036249,134100
1220,754.0,1174.40617533,135200
1230,754.0,1183.70136294,136300
1240,752.0,1192.8662677,137400
1250,752.0,1202.28110231,138500
1260,752.0,1211.83974171,139600
1270,752.0,1221.94640748,140700
1280,752.0,1232.30690139,141800
1290,752.0,1242.07182551,142900
1300,750.0,1251.31566573,144000
1310,750.0,1260.81445623,145100
1320,752.0,1270.48745781,146200
1330,750.0,1279.82856684,147300
1340,750.0,1289.12821332,148400
1350,752.0,1298.43743853,149500
1360,750.0,1307.67010225,150600
1370,752.0,1316.94817221,151700
1380,750.0,1326.29909042,152800
1390,752.0,1335.52711485,153900
1400,752.0,1344.89961908,155000
1410,750.0,1354.29668537,156100
1420,750.0,1363.5661707,157200
1430,752.0,1372.86885861,158300
1440,754.0,1382.09800004,159400
1450,752.0,1391.60203838,160500
1460,750.0,1400.63843284,161600
1470,752.0,1409.96916444,162700
1480,752.0,1419.43084874,163800
1490,750.0,1428.76807517,164900
1500,752.0,1437.99064831,166000
1510,750.0,1447.37217478,167100
1520,752.0,1456.70346459,168200
1530,752.0,1466.13035577,169300
1540,750.0,1475.33610214,170400
1550,752.0,1484.75846314,171500
1560,750.0,1494.03384577,172600
1570,750.0,1503.25909579,173700
1580,750.0,1512.55757814,174800
1590,750.0,1522.34182762,175900
1600,754.0,1531.71432665,177000
1610,752.0,1541.15975971,178100
1620,754.0,1550.59573907,179200
1630,754.0,1559.99449839,180300
1640,750.0,1570.75368134,181400
1650,752.0,1581.05206629,182500
1660,752.0,1590.59494339,183600
1670,752.0,1599.94552807,184700
1680,752.0,1609.43388674,185800
1690,750.0,1618.79901528,186900
1700,752.0,1628.13060318,188000
1710,752.0,1637.34000968,189100
1720,752.0,1646.54971186,190200
1730,750.0,1655.81401515,191300
1740,752.0,1665.24673692,192400
1750,752.0,1674.42642573,193500
1760,752.0,1683.83822197,194600
1770,754.0,1692.92153533,195700
1780,752.0,1702.25486857,196800
1790,752.0,1711.58410827,197900
1800,750.0,1720.78321957,199000
1810,754.0,1730.11447772,200100
1820,752.0,1739.386577,201200
1830,750.0,1748.79859468,202300
1840,752.0,1758.19087229,203400
1850,752.0,1767.53409351,204500
1860,752.0,1776.95989688,205600
1870,750.0,1786.24011659,206700
1880,752.0,1795.57733247,207800
1890,750.0,1804.90244624,208900
1900,752.0,1814.44975071,210000
1910,752.0,1823.73644636,211100
1920,752.0,1833.16731962,212200
1930,750.0,1842.58106168,213300
1940,752.0,1851.87410187,214400
1950,752.0,1861.39860092,215500
1960,752.0,1870.71525078,216600
1970,752.0,1879.98308968,217700
1980,752.0,1889.46655091,218800
1990,752.0,1899.01641609,219900
2000,752.0,1908.34029194,221000
