,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.30455951690673827,0.10645565986633301,0.945054945054945,0.9516556046693033,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 2}",9,0.9565217391304348,0.953168044077135,0.9239130434782609,0.9559228650137741,0.945054945054945,0.9532967032967034,0.9333333333333333,0.9534246575342465,0.9666666666666667,0.9424657534246575,0.0030314881489374064,0.0013468291878062511,0.015379495428163898,0.004706869500047575
1,0.29870057106018066,0.10504217147827148,0.9406593406593406,0.9428552891691124,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 3}",11,0.967391304347826,0.9393939393939394,0.9239130434782609,0.9449035812672176,0.9560439560439561,0.9423076923076923,0.9333333333333333,0.9424657534246575,0.9222222222222223,0.9452054794520548,0.003294276488530203,0.0011959208483166691,0.01806615442088798,0.0021048248178949327
2,0.29941668510437014,0.10501127243041992,0.9472527472527472,0.9450576488683586,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 4}",8,0.967391304347826,0.9449035812672176,0.9347826086956522,0.953168044077135,0.9230769230769231,0.9340659340659341,0.9444444444444444,0.9506849315068493,0.9666666666666667,0.9424657534246575,0.003391781589789831,0.0018972992707910086,0.01750577205204474,0.006708267637037736
3,0.2982181549072266,0.10533452033996582,0.9406593406593406,0.9335130498393264,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 5}",11,0.967391304347826,0.9201101928374655,0.9239130434782609,0.9393939393939394,0.9010989010989011,0.9423076923076923,0.9555555555555556,0.9342465753424658,0.9555555555555556,0.9315068493150684,0.0025059694795070476,0.0018454831412346598,0.02453534907055394,0.007695843996853903
4,0.3027231693267822,0.10751123428344726,0.9406593406593406,0.9417503335187021,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 6}",11,0.967391304347826,0.9338842975206612,0.9347826086956522,0.9393939393939394,0.9120879120879121,0.9478021978021978,0.9222222222222223,0.9452054794520548,0.9666666666666667,0.9424657534246575,0.00376969820341501,0.0010834385099661465,0.02271049427394595,0.00482704953283356
5,0.30205817222595216,0.10519237518310547,0.945054945054945,0.9543953306967007,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 7}",9,0.967391304347826,0.9504132231404959,0.9347826086956522,0.9586776859504132,0.9230769230769231,0.9532967032967034,0.9444444444444444,0.947945205479452,0.9555555555555556,0.9616438356164384,0.0009809802525397773,0.0013687756135117618,0.015514697404260822,0.0050901408263790944
6,0.2989639759063721,0.10598869323730468,0.9516483516483516,0.9505400950232831,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 8}",6,0.9782608695652174,0.9366391184573003,0.9347826086956522,0.9559228650137741,0.9230769230769231,0.9505494505494505,0.9555555555555556,0.9561643835616438,0.9666666666666667,0.9534246575342465,0.0026003100022432457,0.0015664296344945526,0.020288342411329475,0.007241060312230448
7,0.29987897872924807,0.10511727333068847,0.9516483516483516,0.9543907980769749,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 9}",6,0.967391304347826,0.9476584022038568,0.9347826086956522,0.9559228650137741,0.9560439560439561,0.9560439560439561,0.9555555555555556,0.9506849315068493,0.9444444444444444,0.9616438356164384,0.002160350593217911,0.001088949379837834,0.011170398718480815,0.004832086819158901
8,0.2994513034820557,0.1062077522277832,0.9604395604395605,0.9554836529182731,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 10}",4,0.967391304347826,0.9476584022038568,0.9456521739130435,0.9476584022038568,0.9560439560439561,0.967032967032967,0.9666666666666667,0.9534246575342465,0.9666666666666667,0.9616438356164384,0.001812193076395161,0.0015948907274955892,0.008555119427117164,0.0077206614596552915
9,0.30765480995178224,0.10571117401123047,0.9626373626373627,0.9686947174867475,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 12}",3,0.9782608695652174,0.9696969696969697,0.9565217391304348,0.9807162534435262,0.9560439560439561,0.967032967032967,0.9555555555555556,0.9643835616438357,0.9666666666666667,0.9616438356164384,0.0064016916771801186,0.0008221240477630172,0.008873769567694284,0.006581553778167957
10,0.30118560791015625,0.10654277801513672,0.9582417582417583,0.9576950612691585,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 15}",5,0.9782608695652174,0.9614325068870524,0.9456521739130435,0.953168044077135,0.967032967032967,0.9642857142857143,0.9333333333333333,0.947945205479452,0.9666666666666667,0.9616438356164384,0.004995261650329808,0.001627280949031616,0.016288059187189615,0.0061408728753172435
11,0.30205602645874025,0.10723876953125,0.9714285714285714,0.9769199169448235,0.001,"(14,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 20}",2,0.9891304347826086,0.9752066115702479,0.9782608695652174,0.9752066115702479,0.978021978021978,0.978021978021978,0.9444444444444444,0.9835616438356164,0.9666666666666667,0.9726027397260274,0.002313591574885958,0.0015905617793809661,0.015165973799975831,0.0037372697109320768
12,0.3017420291900635,0.10695395469665528,0.978021978021978,0.9758164666383845,0.001,"(14,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 25}",1,0.967391304347826,0.9586776859504132,0.9782608695652174,0.9807162534435262,0.989010989010989,0.9862637362637363,0.9666666666666667,0.9835616438356164,0.9888888888888889,0.9698630136986301,0.0030486125398900463,0.00133885823725771,0.009791704287218265,0.010220787920247696
