,BreastC log-likelihood,Faults log-likelihood
2,-30.414718903653352,-4.394291573003222
3,-29.0999243409496,-4.2519721560497015
4,-26.07334295763848,-3.778278039442614
5,-24.94718679562715,-3.680738736216214
6,-21.833337071832307,-3.4924160489841096
7,-19.054502166783074,-3.425333868874277
8,-24.841977352794085,-3.2832531320481353
9,-21.16164707335144,-3.2773775877191076
10,-20.64792330016572,-3.1606891813076277
