,BreastC SSE (left),Faults SSE (left)
2,11012.521565369072,5013.310165655423
3,10713.310024324652,3966.0870304609634
4,10421.524294376082,2941.3564694560937
5,10160.820292106167,2256.4436620234105
6,9966.232360285612,1974.7262064718884
7,9667.551223957746,1728.1111637755653
8,9394.95190666118,1522.6658976128624
9,9160.214343747903,1349.2044657155134
10,8994.377312871116,1235.799362438539
